universe_variant,strategy_name,sample_id,split_name,replay_rounds,universe_size,data_fail_excluded_count,metadata_excluded_count,liquidity_excluded_count,theme_balance_excluded_count,buy_count,no_trade_count,buy_rate,simulated_win_rate,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_forward_return_1d,average_forward_return_3d,average_forward_return_5d,average_forward_return_10d,average_forward_return_20d,median_forward_return_1d,median_forward_return_3d,median_forward_return_5d,median_forward_return_10d,median_forward_return_20d,average_win_dollars,average_loss_dollars,profit_factor,ending_account_value,max_drawdown,worst_trade_loss_percent,stopped_out_but_20d_positive_rate,top_profit_ticker_contribution_share,top_loss_ticker_contribution_share,top_profit_theme_contribution_share,top_loss_theme_contribution_share,median_ending_value_excluding_best_trade,executed_winner_count,executed_loser_count,winner_dollars,loser_dollars
current_watchlist_full,candidate34_frozen_baseline,10,validation,100,98,19,19,0,0,31,69,0.31,0.2903225806451613,0.41935483870967744,0.25806451612903225,0.3225806451612903,0.41935483870967744,0.4838709677419355,0.005223032417912246,-0.01239536030587811,-0.021328854492715446,-0.03055375321375801,-0.02031765350445337,-0.002295425706538956,-0.017732905253793008,-0.018747221720505136,-0.016079806601918545,-0.003991137722079263,13.531759573520183,-7.466343755895432,0.7414231123714301,57.52627353198214,-0.6757255150240151,-0.21763915311410784,0.22580645161290322,0.2040241242858182,0.39263823947033955,0.3090645923938983,0.39263823947033966,32.679024958678895,9,22,121.78583616168166,164.2595626296995
current_watchlist_full,candidate35_trend_quality_frozen,10,validation,100,98,19,19,0,0,87,13,0.87,0.4489795918367347,0.5057471264367817,0.47126436781609193,0.5287356321839081,0.5517241379310345,0.6436781609195402,0.003775199425910398,0.0026782585266622353,0.006872252195770998,0.028749110410281657,0.0728915416569723,0.0015618511216490827,-0.0027435469130562273,0.011377438941594376,0.022764869227408502,0.03243690947960509,16.496939815905197,-11.109582619808325,1.2099420312281592,162.97394521508963,-0.4751371027228859,-0.11565523679793924,0.20408163265306123,0.15905985339412512,0.13387293124246094,0.3293876899640854,0.300724373359967,128.0843176930298,22,27,362.93267594991437,299.95873073482477
current_watchlist_full,candidate34_frozen_baseline,11,validation,100,98,19,19,0,0,27,73,0.27,0.4074074074074074,0.4444444444444444,0.5555555555555556,0.4074074074074074,0.5555555555555556,0.4444444444444444,0.014456975862018029,0.030053873225803992,0.00611642843175827,-0.008339532402471731,-0.017352895602255804,-0.00821021173761649,0.009765165085716454,-0.018385331071348987,0.005263194879337574,-0.017601322136892472,16.938865158867532,-9.935149057713993,1.172148472969259,127.36513182411899,-0.3632234248543029,-0.1607134834775924,0.14814814814814814,0.22204025531834537,0.2242902064550325,0.22204025531834531,0.3322389648278814,85.9929224326613,11,16,186.32751674754286,158.96238492342388
current_watchlist_full,candidate35_trend_quality_frozen,11,validation,100,98,19,19,0,0,88,12,0.88,0.48936170212765956,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5227272727272727,0.6363636363636364,0.0034904702697208132,0.016679870035124854,0.018655332697733285,0.047561629523832145,0.08904390792661741,0.002243114890640774,0.009709613907183057,0.008375445440663931,0.01183678535063637,0.03427306598954971,20.812978931047923,-14.908777207964924,1.337854285254976,220.88786242294398,-0.42021152737885203,-0.11610105974767067,0.19148936170212766,0.18524990124965005,0.29621616415682994,0.4129844637271178,0.3962726895037137,174.3408144580304,23,24,478.6985154141022,357.81065299115824
current_watchlist_full,candidate34_frozen_baseline,12,validation,100,98,19,19,0,0,35,65,0.35,0.42857142857142855,0.42857142857142855,0.6,0.6,0.5428571428571428,0.5428571428571428,-0.001897198600032108,0.02690468573570588,0.016999035624055806,0.043041446028093906,0.08729668295387308,-0.015482073640972205,0.03123087760346377,0.03501802478837046,0.0274367617545348,0.038582406669385616,26.149224091716057,-15.021268834454656,1.3056099511249477,191.81298468664778,-0.41544207197796745,-0.16126974307928182,0.14285714285714285,0.1450437913682282,0.1490113274395302,0.26467385272852084,0.3017982779758641,147.61976201404912,15,20,392.23836137574085,300.4253766890931
current_watchlist_full,candidate35_trend_quality_frozen,12,validation,100,98,19,19,0,0,86,14,0.86,0.5853658536585366,0.5465116279069767,0.5581395348837209,0.5813953488372093,0.627906976744186,0.627906976744186,0.005029766036337734,0.0174497474253167,0.022237713427326028,0.037460369146878454,0.0665737265970241,0.0046404024349741,0.007647594237818023,0.009725386318970242,0.02411976619703393,0.03914836036563929,29.506783285873297,-19.813843663656396,2.102400520274825,471.32745657880037,-0.2887020975580591,-0.10292566622722153,0.14634146341463414,0.197279330923748,0.19349247673905998,0.22438222131100033,0.3719832321504927,404.235814042637,24,17,708.1627988609591,336.8353422821587
current_watchlist_full,candidate34_frozen_baseline,13,validation,100,98,19,19,0,0,33,67,0.33,0.5757575757575758,0.5454545454545454,0.42424242424242425,0.36363636363636365,0.5151515151515151,0.5151515151515151,0.00404564799770306,0.01974493080218044,0.0014750186528308395,0.04658546696996869,0.05193813360546114,0.003386082145375502,-0.02111429437606205,-0.013302040676523741,0.011346415695949519,0.014393980060837253,28.459017913696496,-21.644631339871108,1.7844125998915632,337.69650160203787,-0.3164414956842897,-0.12484122349603104,0.12121212121212122,0.18730917097229438,0.20611843171278071,0.204104116454686,0.5241232109091413,265.47556900882836,19,14,540.7213403602334,303.02483875819553
current_watchlist_full,candidate35_trend_quality_frozen,13,validation,100,98,19,19,0,0,87,13,0.87,0.4888888888888889,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.632183908045977,0.5977011494252874,0.009954370323797358,0.017855765481950895,0.008611997644124101,0.023923867901859804,0.055236601172886486,0.010215476607594587,0.0105875473451702,0.005659060045415831,0.03691136404318418,0.03662420563525837,25.444784790837936,-17.23613202892324,1.4120621586728694,263.3542287332001,-0.5219391336128063,-0.11769312560504082,0.17777777777777778,0.12898059206818552,0.26080235144172126,0.27546898119006286,0.3615908094796796,204.29840131991352,22,23,559.7852653984346,396.43103666523456
current_watchlist_full,candidate34_frozen_baseline,14,validation,100,98,19,19,0,0,35,65,0.35,0.4857142857142857,0.5142857142857142,0.5142857142857142,0.5428571428571428,0.5428571428571428,0.5714285714285714,0.01007258092439913,0.00857461683108898,0.021814363332821968,0.04626756254453325,0.08394313488739688,0.0031949145368095344,0.0021169096168121015,0.01799773242216851,0.05640898902372604,0.028614467024232315,20.21812676881744,-12.070634421825394,1.5819299000023477,226.43673547703938,-0.3611526142506144,-0.1245100187172902,0.11428571428571428,0.15068849766965658,0.13560726346669594,0.2650571344306599,0.3616376113515395,178.28944708156638,17,18,343.7081550698965,217.2714195928571
current_watchlist_full,candidate35_trend_quality_frozen,14,validation,100,98,19,19,0,0,88,12,0.88,0.47619047619047616,0.48863636363636365,0.5113636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.006595797189153727,0.012099043005956074,0.01445867788801018,0.013658860066114014,0.054691932428082346,-0.0011935285073864654,0.001227892775269357,0.012147993224180698,0.011256854829929885,0.03513140033489204,15.337271307693223,-10.252800601507145,1.3599185683992676,181.18381292070723,-0.3240727371417089,-0.11418093404557274,0.14285714285714285,0.21095163636898767,0.13929459656567555,0.263556488931201,0.5512217912203895,154.07472390202176,20,22,306.74542615386446,225.5616132331572
