factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
relative_volume_eod,5,10,12206,0.021011816951684973,0.009391599399524941,0.5385056529575618,-0.9999997040734377,0.013314053170058227
relative_volume_eod,1,20,12046,0.03313654978553075,0.012195121644372753,0.5371077536111573,-0.9999999998776093,0.0178389055086124
relative_volume_eod,2,20,11476,0.032078762312743064,0.015240477439604994,0.5471418612757059,-0.9999999828498664,0.016715725175388274
relative_volume_eod,3,20,11993,0.03343648149319277,0.014330835917395479,0.5457350120903861,-0.9999999998646086,0.018124531791746893
relative_volume_eod,4,20,11476,0.035491557622465954,0.01809126836916264,0.5564656674799582,-0.9999999999306142,0.020128520485111153
relative_volume_eod,5,20,12006,0.04020031284016874,0.017065761657464873,0.5504747626186907,-0.999999999989094,0.024853697762221044
relative_volume_prev20,1,5,12345,0.007064381103278239,0.0040658134029805115,0.5246658566221142,-0.9987057291439769,0.003272999286892179
relative_volume_prev20,2,5,11761,0.007749914596820863,0.004603687940116785,0.5358387892186038,-0.9981563290053056,0.003938633862962399
relative_volume_prev20,3,5,12292,0.007976256425402273,0.00455249146653125,0.5302635860722421,-0.9997935277592342,0.004179657706273226
relative_volume_prev20,4,5,11761,0.009574924513748417,0.004565243593058321,0.5337981464161211,-0.9988626741274226,0.0057636437798899536
relative_volume_prev20,5,5,12305,0.009175743221888539,0.003181081366571803,0.5182446160097521,-0.9999119940274526,0.0053683009641889885
relative_volume_prev20,1,10,12244,0.013839386753234383,0.005223589449506738,0.5229500163345312,-0.9999806229460321,0.006173752176446346
relative_volume_prev20,2,10,11666,0.014379761276055399,0.007195515853049339,0.5356591805246014,-0.999964836001348,0.006677015662739484
relative_volume_prev20,3,10,12193,0.015291712785973261,0.009178677280493153,0.5411301566472566,-0.9999977547762083,0.007615788957968978
relative_volume_prev20,4,10,11666,0.020030665034669482,0.010054146820510312,0.5474884279101663,-0.9999520147547719,0.012327919421353568
relative_volume_prev20,5,10,12205,0.02057232455242016,0.009316822363475419,0.5379762392462105,-0.9999999521571317,0.01287483384292588
relative_volume_prev20,1,20,12045,0.033469211587335894,0.01237436294808325,0.5373183893731839,-0.9999999978693027,0.018174182792762977
relative_volume_prev20,2,20,11476,0.03212358678066542,0.015522552812346935,0.5489717671662601,-0.999999996581647,0.016760549643310623
relative_volume_prev20,3,20,11992,0.03296317670330564,0.013535660514573,0.5431120747164776,-0.999999999993649,0.01765397927707057
relative_volume_prev20,4,20,11476,0.03638813117455144,0.018994614732614656,0.5592540955036598,-0.9999999928395903,0.021025094037196643
relative_volume_prev20,5,20,12005,0.0394064033409984,0.016632000968346272,0.5483548521449396,-0.999999999999295,0.02406337422500867
return_10d,1,5,12346,0.006835892464227808,0.0018715648322872314,0.5106107241211728,-0.999997646634648,0.003043343450364491
return_10d,2,5,11761,0.006038905069639647,0.003733560919563006,0.5288665929767877,-0.9971882773209485,0.002227624335781184
return_10d,3,5,12293,0.007628925219458265,0.004783755740668472,0.5368095664199137,-0.9889656843944926,0.003833449762958901
return_10d,4,5,11761,0.008003748359459334,0.004856981078126044,0.5334580392823739,-0.9988155624192212,0.00419246762560087
return_10d,5,5,12306,0.01290606871174112,0.005892012365298904,0.5329107752315944,-0.9999997729035282,0.009098290017337085
return_10d,1,10,12246,0.012337561756320215,0.0038044577784749345,0.5148619957537155,-0.9999999999999378,0.00467120217889502
return_10d,2,10,11666,0.01268443749756014,0.0065633447408455226,0.5304303103034459,-0.999979767831425,0.004981691884244225
return_10d,3,10,12193,0.014512312507666788,0.0094549544283693,0.548101369638317,-0.9999112607258923,0.006834394180420079
return_10d,4,10,11666,0.01664911600269452,0.009924678847651691,0.5443168181038917,-0.9999945341023381,0.008946370389378604
return_10d,5,10,12206,0.02774285952221226,0.011358941975339598,0.5472718335244962,-0.9999999999972259,0.020045095740585512
return_10d,1,20,12046,0.02760645126166832,0.007229420563086508,0.5220820189274448,-1.0,0.012308806984749962
return_10d,2,20,11476,0.027188800304626476,0.013897544011132301,0.5447891251307075,-0.9999999457772412,0.011825763167271679
return_10d,3,20,11994,0.030774780699821723,0.016770495702521426,0.5535267633816908,-0.9999999781555947,0.01546581374995003
return_10d,4,20,11476,0.03315238828550049,0.018442377282463007,0.5602126176368073,-0.999999999813194,0.01778935114814569
