ticker,normalized_ticker,source_watchlist,source_watchlist_line_number,symbol_master_status,primary_exchange,listing_exchange,asset_type,security_name,is_etf,is_adr,is_spac_or_former_spac_if_detectable,is_recent_ipo_or_recent_listing,first_trade_date_from_ohlcv,last_trade_date_from_ohlcv,has_sufficient_factor_lookback,has_sufficient_forward_window,normalized_symbol_notes,validation_sources_used
RIOT,RIOT,True,51,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"Riot Platforms, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
RIVN,RIVN,True,58,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Rivian Automotive, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
RKLB,RKLB,True,116,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Rocket Lab Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ROKU,ROKU,True,43,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Roku, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
RTX,RTX,True,81,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,RTX Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
RXRX,RXRX,True,95,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Recursion Pharmaceuticals, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
S,S,True,30,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"SentinelOne, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SDGR,SDGR,True,96,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Schrodinger, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
SHOP,SHOP,True,35,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Shopify Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
SMCI,SMCI,True,16,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Super Micro Computer, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
SMR,SMR,True,70,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,NuScale Power Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SNOW,SNOW,True,20,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Snowflake Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SO,SO,True,78,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Southern Company (The),False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SOFI,SOFI,True,115,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"SoFi Technologies, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
SOUN,SOUN,True,93,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"SoundHound AI, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
SPOT,SPOT,True,44,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Spotify Technology S.A.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SPY,SPY,False,,ETF_OR_INDEX_PROXY,,P,EQUITY,State Street SPDR S&P 500 ETF Trust,True,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
SQ,SQ,True,45,UNKNOWN,,,NONE,,False,False,False,False,,,False,False,yfinance_metadata_rejected:metadata_incomplete;not_found_in_public_listing_directory,yfinance_metadata_only
SYM,SYM,True,88,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,Symbotic Inc.,False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
TEAM,TEAM,True,31,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Atlassian Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
