source_name,ticker,error_type,http_status_if_available,retry_after_if_available,safe_to_retry_later,counts_against_vendor_readiness,reason
,GEV,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,GM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,HOOD,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,HPE,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,HUT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,INTC,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,IREN,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ISRG,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,JOBY,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,KLAC,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,KTOS,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,LCID,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,LEU,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,LI,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,LMT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,LRCX,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,MRNA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,MRVL,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,MSFT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,MSTR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,MU,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NEE,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NET,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NIO,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NOC,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NOW,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NVAX,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,NVDA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,OKLO,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,OKTA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,PANW,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,PATH,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,PLTR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,PWR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,PYPL,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,QCOM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,QQQ,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RBLX,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RDDT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RIVN,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RKLB,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ROKU,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RTX,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,RXRX,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,S,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SDGR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SHOP,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SMCI,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SMR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SNOW,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SO,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SOFI,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SPOT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SPY,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,SQ,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,TEAM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,TER,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,TLN,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,TSLA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,TSM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,UBER,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,UPST,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,VST,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,XPEV,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ZS,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
