policy_name,split_name,sample_count,total_buy_count,median_buy_count,minimum_buy_count,median_no_trade_count,median_buy_rate,worst_sample_ending_value,median_ending_account_value,worst_max_drawdown,median_simulated_win_rate,median_accuracy_1d,median_accuracy_3d,median_accuracy_5d,median_accuracy_10d,median_accuracy_20d,median_profit_factor,worst_trade_loss_percent,max_top_ticker_loss_share,max_top_theme_loss_share,median_ending_value_excluding_best_trade,total_excluded_trades,total_excluded_loser_count,total_excluded_winner_count,excluded_loser_dollars_avoided,excluded_winner_dollars_missed,median_overlay_false_positive_rate,median_overlay_false_negative_rate
overlay_high_volatility_tail_skip,holdout,10,584,58.5,55,41.5,0.585,75.95761782809691,172.5170686488837,-0.42140103537942253,0.46464646464646464,0.5687034277198211,0.5,0.5267942583732057,0.5641437755698422,0.6439655172413794,1.6695721652300213,-0.07862701366116022,0.49575491011162626,0.49575491011162626,152.55535317012283,310,137,173,1234.1393206456037,2463.3688159480794,0.5405844155844155,0.5353535353535354
overlay_high_volatility_tail_skip,validation,10,575,57.5,56,42.5,0.575,92.1555967499873,169.01393822922074,-0.45754846648880243,0.4646825396825397,0.5825771324863884,0.5357142857142857,0.5178571428571429,0.5644673123486683,0.6428571428571429,1.4939891393388909,-0.08140627170572723,0.44530681499767205,0.5137381795717031,145.84926557792983,301,138,163,1243.6124155547266,2313.229013104168,0.5313479623824451,0.5353174603174603
overlay_market_regime_risk_off_skip,calibration,10,842,84.0,82,16.0,0.84,126.0539507855013,229.7597272436967,-0.5614710292853244,0.5119047619047619,0.550280112044818,0.550280112044818,0.5607457898957497,0.5858543417366946,0.6411161888935051,1.4856591015424745,-0.12227805925898598,0.40842569599236644,0.47468908102323687,182.4125590635034,20,0,20,0.0,108.32881304931662,1.0,0.4880952380952381
overlay_market_regime_risk_off_skip,holdout,10,875,87.5,86,12.5,0.875,196.36536401326373,232.4925090022094,-0.5122873532651876,0.49489795918367346,0.54858934169279,0.5113636363636364,0.54858934169279,0.5574788583509513,0.622093023255814,1.4678757971172534,-0.12094672403973866,0.29540297379188746,0.4974080953026068,187.13599322353156,19,0,19,0.0,101.15371923065207,1.0,0.5051020408163265
overlay_market_regime_risk_off_skip,validation,10,857,86.0,84,14.0,0.86,149.21941783237523,221.57963487182434,-0.5482924005891255,0.47154255319148936,0.535437430786268,0.5318096765570703,0.5321477428180574,0.557944557133198,0.6234772978959026,1.4038560920868424,-0.12408699425736214,0.3172490935028277,0.4961719026039238,180.1287080992979,19,0,19,0.0,90.17402106857318,1.0,0.5284574468085106
overlay_theme_loss_cooldown_10pct_3,calibration,10,841,84.5,81,15.5,0.845,137.8129672318874,257.904364612512,-0.6285314564930148,0.5113636363636364,0.5568475452196382,0.5542483660130719,0.575007177720356,0.5906976744186047,0.6465690496698249,1.5253867992360726,-0.12194354223780841,0.40587509173602854,0.5271323777377515,207.1555613943516,21,8,13,59.72754863847996,94.58025589098258,0.6666666666666666,0.48863636363636365
overlay_theme_loss_cooldown_10pct_3,holdout,10,876,89.0,83,11.0,0.89,171.7540532418666,235.75673257514492,-0.5414423960666014,0.5060975609756098,0.5475031210986268,0.5280898876404494,0.550561797752809,0.5747521480502313,0.6322538003965631,1.503553561897747,-0.12290579040323074,0.28521985093917085,0.5382331822937647,194.34137859739656,18,7,11,56.07318612670889,73.2902271302088,0.4666666666666667,0.49390243902439024
overlay_theme_loss_cooldown_10pct_3,validation,10,856,85.5,83,14.5,0.855,151.67520729092257,239.1026852110461,-0.6185144019400478,0.5002364066193853,0.544550294200056,0.5411992798781332,0.5433155080213903,0.5721256684491979,0.6321353065539113,1.459717716837586,-0.11946051931003697,0.30621426669956264,0.5413218799469557,199.36607754939007,20,9,11,71.98199620601099,93.6265322359631,0.5833333333333333,0.4997635933806146
overlay_theme_loss_cooldown_10pct_5,calibration,10,824,82.5,80,17.5,0.825,137.20796239539624,215.278866847039,-0.6166753973662059,0.5,0.5602497096399536,0.5590277777777778,0.5794642857142858,0.5928714859437751,0.6461309523809524,1.3896829800869201,-0.12099127750647713,0.40587509173602854,0.5051006324740521,179.02550696468427,38,19,19,111.43719067137562,169.99575643103478,0.45,0.5
overlay_theme_loss_cooldown_10pct_5,holdout,10,860,87.0,81,13.0,0.87,183.36010288184085,228.77452579695915,-0.5081974533739682,0.5111996017919362,0.5475031210986268,0.5402298850574713,0.5511429678419217,0.5825370447306467,0.641653290529695,1.461203099445211,-0.12155398897326011,0.2914630015639451,0.5110355109793059,186.00463176420828,34,17,17,106.5992922455922,146.0002438304085,0.3666666666666667,0.4888003982080637
