rank,ticker,reference_price,smoke_score,decision_strength,relative_volume_prev20,return_5d,return_20d,distance_to_52w_high_prev,dollar_volume,stop_loss,target_1,target_2,shares_with_100,estimated_total_cost,estimated_cash_remaining,max_dollar_risk,signal_rule_pass,max_entry_price_pass,affordability_pass,all_rule_checks_passed,failed_checks,replay_date,row_type,executable_pre_rank,rejection_reason
3.0,INTC,47.97999954223633,0.7925925925925925,0.36455215650227846,0.9031916307427288,0.05265462077156968,0.018035188942445046,-0.12124540507125592,3477619154.8210144,44.31142793382917,55.31714275905064,62.65428597586495,3,144.08393862533566,11.962746571405148,11.149654823848152,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-03-11,EXECUTABLE_NEAR_MISS,,
4.0,XPEV,19.290000915527344,0.7481481481481481,0.3843993734233928,1.2151499163660908,0.19294995822588024,0.0824916524061492,-0.31680536573265694,130396548.18878174,18.011143888745988,21.847714969090056,24.40542902265277,8,154.47432733154295,1.5723578651978585,10.385176221575051,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-03-11,EXECUTABLE_NEAR_MISS,,
5.0,NVAX,10.800000190734863,0.7333333333333333,0.35553785834833573,0.9998407251350216,0.0920121148455264,0.2342857360839843,-0.09774436509552076,55932120.98779678,9.6235716683524,13.152857235499791,15.50571428026472,14,151.35120267295838,4.695482523782431,16.621199316024775,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-03-11,EXECUTABLE_NEAR_MISS,,
,ASML,1386.6800537109375,,,0.7870020001081139,-0.009068324639322611,-0.019057413943848966,-0.1037602409689885,1615066258.557129,1302.5043116978236,1555.0315377371653,1723.3830217633931,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,GEV,847.6500244140625,,,0.7168975185609123,0.007583777782034007,0.07190284142011816,-0.052830912639719174,1446684296.6674805,792.7312796456473,957.4875139508929,1067.3250034877233,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,NOC,733.1799926757812,,,0.6691689700046246,-0.02740639053867666,0.07033575573106754,-0.05273902755067017,456184591.4428711,700.763922555106,798.0121329171318,862.8442731584823,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,LMT,649.469970703125,,,0.8124125197295929,-0.022589107583100287,0.03162521955292785,-0.06145957990877893,885877040.0390625,620.2628304617746,707.8842511858259,766.2985316685267,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,PWR,567.7100219726562,,,0.8091693802656743,-0.0011787587606892913,0.1117617219314666,-0.015861671135552702,533250023.638916,535.2843061174665,632.5614536830358,697.4128853934153,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,SPOT,514.3699951171875,,,0.5289209486220764,-0.036922673606893164,0.08056385653673503,-0.34475159857683124,981932320.6787109,478.26682826450894,586.5763288225446,658.7826625279017,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ISRG,492.8699951171875,,,0.8767434104571847,-0.01658086451980456,-0.004604662844393648,-0.1838279275154463,757984765.4907227,474.0664269583566,530.4771314348493,568.0842677525111,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,APP,461.45001220703125,,,0.8041156578683454,-0.04424097566241936,-0.024253575435660535,-0.3811107398334358,2636217774.737549,414.57406071254184,555.2019151960101,648.9538181849889,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,CRWD,442.0299987792969,,,0.6958438606250004,0.08425727708161879,0.06928078356032841,-0.22026816062290522,1286847457.1062622,407.3066297258649,511.4767368861608,580.9234749930247,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,MU,418.69000244140625,,,0.9129905055204788,0.044713960423625965,0.12174146668829544,-0.08081228882237923,12640837339.709473,381.9153551374163,492.2392970493861,565.7885916573659,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-11,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
1.0,RIVN,16.1200008392334,0.8571428571428571,0.6547619047619047,3.0344817775809334,0.053594812959224525,0.0339961950903207,-0.28955484972169443,1272321038.2390976,14.74203634262085,18.875929832458496,21.631858825683594,9,145.22508756065366,10.821597636087148,12.546760477066009,True,True,True,True,,2026-03-19,EXECUTABLE_NEAR_MISS,,
2.0,INTC,46.18000030517578,0.8357142857142857,0.38042773067178887,0.9167067189032424,0.020552492932061517,0.034961932107449245,-0.15421242498635168,3419698292.5987244,42.34749943869454,53.84500203813826,61.51000377110074,3,138.67854091644284,17.36814428029797,11.636042600359232,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min",2026-03-19,EXECUTABLE_NEAR_MISS,,
3.0,NIO,5.889999866485596,0.7,0.30200223356048617,0.6180201020443756,0.061261200732628085,0.19472618084664028,-0.26558609347910356,176887297.9903221,5.422857046127319,6.824285507202148,7.758571147918701,26,153.2931365251541,2.7535486715867137,12.298853325843783,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-03-19,EXECUTABLE_NEAR_MISS,,
4.0,PYPL,44.189998626708984,0.6928571428571428,0.32804069620549886,0.8737948372780611,-0.0038323259987266267,0.05895037410635018,-0.4441509606703272,1005083842.7650452,41.93624823434012,48.697499411446714,53.20500019618444,3,132.70256587600707,23.34411932073374,6.893821172986712,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, return_5d_not_positive, distance_to_52w_high_prev_below_min",2026-03-19,EXECUTABLE_NEAR_MISS,,
5.0,CORZ,16.479999542236328,0.6714285714285715,0.34211425532337586,1.0647425836246682,0.014778311237724884,-0.083426031045017,-0.30258145884328136,225157993.74580383,14.9704635483878,19.499071529933385,22.518143517630442,9,148.46831587600707,7.578369320733742,13.734143940516864,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-03-19,EXECUTABLE_NEAR_MISS,,
,ASML,1366.3900146484375,,,1.078637762647729,0.01095758969153482,-0.06343007248847532,-0.11687410935660969,2212322072.717285,1285.5260358537946,1528.1179722377233,1689.845929827009,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,GEV,877.3900146484375,,,1.0784364283320012,0.05441591868140416,0.0512575095526262,-0.01959927387716709,2201810241.760254,819.7862636021205,992.5975167410716,1107.8050188337056,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,NOC,714.1500244140625,,,0.9895075170895878,-0.030082797427852692,-0.030833078906288947,-0.0773255498526324,606813275.7446289,684.4939553397043,773.462162562779,832.7743007114955,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,LMT,637.510009765625,,,0.9329982742438463,-0.02346706941036747,-0.043510224265345565,-0.07874276045429918,982275423.046875,610.4210793631418,691.6878705705915,745.865731375558,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,PWR,577.9500122070312,,,0.7288891166222586,0.019474060407269178,0.043231068965760455,-0.009901784138408143,493280335.4187012,547.063945225307,639.7221461704798,701.4942801339284,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,SPOT,482.5199890136719,,,1.1666188233983574,-0.05312115135452855,-0.0057079673648249285,-0.3853248547596536,1313853678.0853271,449.3177163260324,548.9245343889509,615.3290797642298,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ISRG,479.92999267578125,,,0.7625447241417963,0.0013771020035442394,-0.03923689498410954,-0.20525602968272594,603991895.7824707,458.74142020089283,522.3071376255581,564.6842825753349,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,MU,444.2699890136719,,,2.1829815185865504,0.0960157452180157,0.06450217447338269,-0.057432018361567194,33138942593.50891,404.8349860055106,523.1399950299945,602.010001046317,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,APP,439.9200134277344,,,0.8440282708068102,-0.02094223271479312,0.06776702288285041,-0.4099864244437288,2094063255.9173584,398.12723977225164,523.5055607386998,607.0911080496653,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,CRWD,428.17999267578125,,,0.5844213351563379,-0.030257769648481148,0.014307996915132293,-0.24469928693628074,1010428138.4961548,401.05089678083147,482.4381844656808,536.6963762555804,0,0.0,156.0466851967408,0.0,,False,False,,,2026-03-19,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
1.0,CORZ,16.829999923706055,0.7724137931034483,0.4048931283421573,0.8095553964587268,0.20992092798888118,0.11015831748699023,-0.28776976210607463,155386340.2956009,15.10553571156093,20.278928347996303,23.72785677228655,8,134.77463938903807,8.726725337846489,13.930353696550625,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min",2026-04-07,EXECUTABLE_NEAR_MISS,,
2.0,F,11.520000457763672,0.7379310344827587,0.34107138844441726,0.8558493925514794,0.027653917802121786,-0.054963014412061306,-0.2216216007229882,483743251.222229,11.080714498247419,12.398572376796178,13.277144295828684,12,138.3782454986572,5.1231192282273526,5.409671519688189,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min",2026-04-07,EXECUTABLE_NEAR_MISS,,
3.0,EDIT,2.740000009536743,0.6965517241379311,0.3276337761300628,0.8590488127567718,0.22869954533684278,0.18103452085314808,-0.3960767244304886,4225354.014706612,2.466785703386579,3.2864286218370715,3.8328572341374,52,142.62248049640655,0.8788842304780076,14.349623920304438,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min, dollar_volume_below_min",2026-04-07,EXECUTABLE_NEAR_MISS,,
4.0,IREN,35.7400016784668,0.6620689655172415,0.3045592790871749,0.7548266152328496,0.1302973032853747,-0.07981458449903078,-0.5350591856189839,854740010.1413727,31.448502608707972,44.322999817984446,52.905997957502095,4,143.10296672058104,0.3983980063035233,17.308956285749147,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",2026-04-07,EXECUTABLE_NEAR_MISS,,
5.0,HPE,24.6299991607666,0.6620689655172414,0.27304985700260725,0.47124181647174096,0.08934093303342161,0.12929847610623812,-0.06845693406698439,251127471.44317627,22.847249371664866,28.195498738970073,31.760998317173545,5,123.27314579963682,20.228218927247738,9.03689894131249,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-04-07,EXECUTABLE_NEAR_MISS,,
,ASML,1306.449951171875,,,0.8205875212430201,0.04185938297035574,-0.03754924129843695,-0.15561460173102182,1788399338.1591797,1219.5067138671875,1480.33642578125,1654.222900390625,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,GEV,910.75,,,0.5407808100309797,0.11427176509928483,0.09715700130834781,-0.039678193012369856,1274230325.0,842.8224945068359,1046.6050109863281,1182.4600219726562,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,NOC,690.5,,,0.811977502151707,0.02815701899724732,-0.076056446614576,-0.1078811369509044,420169250.0,664.9517974853516,741.5964050292969,792.6928100585938,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,LMT,627.7000122070312,,,0.45703833416050965,0.04866599483163547,-0.05488219659283877,-0.09291905750429008,459539178.9367676,604.466086251395,674.1678641183037,720.6357160295761,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,PWR,555.5700073242188,,,0.4371388189641474,0.0408220181186747,-0.021952628662563534,-0.04824143711432827,290396442.82836914,522.4682268415179,621.7735682896205,687.9771292550222,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,SPOT,483.17999267578125,,,0.5615612232191037,0.017221037212171053,-0.113235963247176,-0.38448408576333604,457571453.06396484,454.18264552525113,541.1746869768415,599.1693812779017,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ISRG,452.95001220703125,,,1.0984798696594456,0.00037548793717201434,-0.08227973407982969,-0.24993374752500763,813860581.9335938,436.63321903773715,485.58359854561945,518.2171848842077,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,CRWD,423.2300109863281,,,1.3732448365087482,0.11358736437680172,-0.02510767229605948,-0.2534309529731086,1958212042.0418396,396.31028311593195,477.06946672712047,530.9089224679128,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,APP,410.44000244140625,,,0.6501165790476866,0.10309615473416578,-0.20646517421624166,-0.44952453627900424,1203943659.161377,371.88861083984375,487.54278564453125,564.6455688476562,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,MU,377.5799865722656,,,0.7852404675823618,0.1733374794755529,-0.030155195035163618,-0.19892224401514835,15187815137.88147,335.8424780709403,461.0550035749163,544.530020577567,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-07,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
1.0,IREN,47.70000076293945,0.7925925925925925,0.46542665606630634,1.1443954601523136,0.28710196965390944,0.13006400847059818,-0.3794718478130873,1756218628.0899048,42.6792870249067,57.74142823900496,67.78285571507047,3,143.24310229110716,0.2582624357773966,15.205241216387073,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",2026-04-16,EXECUTABLE_NEAR_MISS,,
2.0,SOFI,19.030000686645508,0.7481481481481481,0.39009088092090954,1.266373483843741,0.16963737868641715,0.10768337302720421,-0.4185762006477176,1380518078.8122177,17.765714951923915,21.558572156088694,24.08714362553188,7,133.34321481132505,10.158149915559505,8.983210147857662,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",2026-04-16,EXECUTABLE_NEAR_MISS,,
3.0,NIO,6.869999885559082,0.7333333333333333,0.3650647845322508,1.085583060790257,0.13179566577816804,0.1804123166542746,-0.14339158435974209,301509180.9774399,6.347142679350717,7.915714297975812,8.961428710392543,20,137.5373977088928,5.963967017991763,10.59454412187847,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-04-16,EXECUTABLE_NEAR_MISS,,
4.0,RIVN,16.889999389648438,0.6740740740740742,0.34334244194376656,1.067859755271677,0.10826769313062878,0.08757241983654884,-0.2556192599336169,492034395.2194214,15.764142513275146,19.14171314239502,21.3934268951416,8,135.25511511230468,8.246249614579881,9.141975006103507,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2026-04-16,EXECUTABLE_NEAR_MISS,,
5.0,UPST,33.09000015258789,0.6592592592592592,0.36052585759004635,1.2669549405326397,0.20722365329425751,0.28106853466224013,-0.6209622108149329,192742632.88879395,30.566249915531703,38.137500626700266,43.18500110081264,4,132.4923606109619,11.009004115922664,10.227360948835084,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",2026-04-16,EXECUTABLE_NEAR_MISS,,
,ASML,1410.8299560546875,,,1.3839304531085352,-0.026100382573600145,0.04107227160019855,-0.08815166377826411,3705827045.5688477,1319.47562953404,1593.5386090959823,1776.2472621372772,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,GEV,978.3200073242188,,,0.5648759664948454,0.010640263202362776,0.13960888640394864,-0.0288471057771037,1372289474.2736816,923.556621006557,1087.8467799595423,1197.373552594866,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,NOC,672.77001953125,,,0.8940969327526528,-0.025775790440044077,-0.07183655068017014,-0.13078808846091727,450957744.0917969,650.135031563895,718.0399954659599,763.3099714006698,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,LMT,607.489990234375,,,0.6126624075802167,-0.026255477921703352,-0.0541664655221894,-0.12212429156882221,518492706.66503906,585.2653416224888,651.9392874581474,696.3885846819198,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,PWR,587.4199829101562,,,0.7218405113595556,0.009208647517514601,0.026958012080692706,-0.01933224889790275,442797183.1176758,558.9842660086496,644.2914167131696,701.162850516183,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,SPOT,531.4500122070312,,,0.9873338545738859,0.09212530833026666,0.028506816726789896,-0.32299361502289015,838893844.2687988,503.5117634364537,587.3265097481864,643.2030072893415,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,APP,466.0899963378906,,,1.012132414720215,0.22933475320477226,0.0531441096875811,-0.37488766849316724,2105514949.456787,424.58639199393133,549.0972050258092,632.1044137137278,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ISRG,458.0799865722656,,,1.2999099899400521,0.00690197413726823,-0.041132070337161375,-0.24143872479904427,1012173538.3300781,440.51070295061385,493.2185538155692,528.3571210588727,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,MU,457.2300109863281,,,0.6304205118763936,0.08474294890544765,-0.009745955196603484,-0.029935896510355664,15374999241.430664,417.7564348493304,536.1771632603236,615.1243155343191,0,0.0,143.50136472688456,0.0,,False,False,,,2026-04-16,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
