sample_id,replay_rounds,policy,buy_count,no_trade_count,executed_count,trade_simulation_accuracy,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_return_20d,median_return_20d,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,ending_value_excluding_best_trade,top_ticker_profit_share,top_ticker_loss_share,stop_count,target_1_count,target_2_count,time_exit_count,median_holding_days,average_entry_gap_pct,intraday_stop_breach_count,intraday_stop_breach_rate,passes_phase1c_policy_gate
1,100,hybrid_close_stop_2_0x_intraday_catastrophic_3_0x,34,66,24,0.6666666666666666,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,28.167787952031418,-26.302693726062756,2.1418177351257817,340.26305742400064,-0.22614941883569484,-0.17083174043668845,259.94394343103716,0.23943110282895172,0.33350070254829856,5,9,1,9,10.0,-0.0020094666178430975,8,0.3333333333333333,True
2,100,baseline_current,36,64,36,0.5,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,25.519147666776,-15.127120671832355,1.6869798437117152,287.0564859089857,-0.3477461948143078,-0.13316100089941357,226.87237541464447,0.22014244370258435,0.13771845060544005,18,14,1,3,6.0,0.0033268057988483277,19,0.5277777777777778,True
2,100,atr_stop_2_0x,36,64,26,0.46153846153846156,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,26.20737080102876,-14.89576738079225,1.508043198604336,205.94770628125357,-0.47208030016058244,-0.17144390215012795,157.75623788547546,0.162038289099798,0.16255468360979244,13,8,1,4,9.5,0.006838120510016314,13,0.5,False
2,100,atr_stop_2_5x,36,64,23,0.5652173913043478,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,43.99729427591788,-39.59860179756705,1.4444066194834029,275.9788076112618,-0.5873536966196633,-0.2230023369581712,153.08453750113142,0.21486333531790197,0.19634638879087232,8,8,0,7,13.0,0.006941829264699744,8,0.34782608695652173,False
2,100,time_exit_20d_no_intraday_stop,36,64,18,0.5555555555555556,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,34.96001347756387,-21.08370744943617,2.072691292637125,280.9304751801494,-0.3583715588114579,-0.2222312030721302,210.5751553368571,0.27515964449475266,0.4238916712247316,0,0,0,18,20.0,0.004586979581858774,0,0.0,False
2,100,close_based_stop_2_0x,36,64,26,0.5769230769230769,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,38.792948036152985,-27.89441546031404,1.8964181081340545,375.05565047884045,-0.5021280355203268,-0.18084533492160815,278.6727136872842,0.1656365253150863,0.19722581468767944,10,10,1,5,10.5,0.00607515203369551,12,0.46153846153846156,False
2,100,close_based_stop_2_0x_with_intraday_breach_flag,36,64,26,0.5769230769230769,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,38.792948036152985,-27.89441546031404,1.8964181081340545,375.05565047884045,-0.5021280355203268,-0.18084533492160815,278.6727136872842,0.1656365253150863,0.19722581468767944,10,10,1,5,10.5,0.00607515203369551,12,0.46153846153846156,False
2,100,close_confirmed_stop_2_0x_next_open_exit,36,64,26,0.5769230769230769,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,38.142986530181346,-31.341170348774277,1.6595794883033612,327.3919241162032,-0.580854337596576,-0.18607138225563727,233.08256467253858,0.16483477570909938,0.20697256847437234,10,10,1,5,11.5,0.00607515203369551,12,0.46153846153846156,False
2,100,hybrid_close_stop_2_0x_intraday_catastrophic_3_0x,36,64,26,0.5769230769230769,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.1027666208962344,0.0350154524523959,37.38273630346118,-28.944601021060667,1.7611733033921384,342.35043332025043,-0.5278979508501542,-0.18084533492160815,251.97063052007184,0.16117921753418307,0.2047463385716976,10,10,1,5,10.5,0.00607515203369551,12,0.46153846153846156,False
3,100,baseline_current,38,62,38,0.2894736842105263,0.4473684210526316,0.4473684210526316,0.3684210526315789,0.5,0.5263157894736842,0.019835259700553894,0.015183271452044456,11.483922784805303,-6.141799878672942,0.7617694000207793,60.494553908688914,-0.6149610537590146,-0.18734533759922542,36.74845159169627,0.19323836058947738,0.13721225639586754,27,10,1,0,5.0,0.002044802201228517,27,0.7105263157894737,False
3,100,atr_stop_2_0x,38,62,27,0.2962962962962963,0.4473684210526316,0.4473684210526316,0.3684210526315789,0.5,0.5263157894736842,0.019835259700553894,0.015183271452044456,8.016566909211026,-6.529537912705782,0.5169426441010244,40.07131493227834,-0.6149735522038584,-0.2431354324074063,19.438089195932776,0.32172789752178726,0.18356270411947959,17,4,0,6,8.0,0.0004968363230136431,17,0.6296296296296297,False
3,100,atr_stop_2_5x,38,62,24,0.3333333333333333,0.4473684210526316,0.4473684210526316,0.3684210526315789,0.5,0.5263157894736842,0.019835259700553894,0.015183271452044456,7.920316651225097,-7.528928566660193,0.5259922830386556,42.89967614323768,-0.6876107939325046,-0.3088299295637361,17.092163973263467,0.40729924866675554,0.23612623879754763,12,5,0,7,14.5,-0.00623612969091183,12,0.5,False
