sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
6,overlay_ticker_loss_cooldown_5pct_10,2025-10-01,2026-05-28,-0.22479513222398517,7,"CORZ,F,INTC,MRNA,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-05-28 F pnl=-10.04,False,,
6,overlay_ticker_loss_cooldown_5pct_15,2025-10-01,2026-05-28,-0.22479513222398517,7,"CORZ,F,INTC,MRNA,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-05-28 F pnl=-10.04,False,,
6,overlay_ticker_loss_cooldown_8pct_5,2025-10-01,2026-03-03,-0.21982885034826183,7,"F,INTC,MRNA,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_ticker_loss_cooldown_8pct_10,2025-10-01,2026-03-03,-0.21982885034826183,7,"F,INTC,MRNA,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_ticker_loss_cooldown_8pct_15,2025-10-01,2026-03-03,-0.21982885034826183,7,"F,INTC,MRNA,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_ticker_loss_cooldown_10pct_5,2025-10-01,2026-03-03,-0.2787433617653504,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
6,overlay_ticker_loss_cooldown_10pct_10,2025-10-01,2026-03-03,-0.2787433617653504,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
6,overlay_ticker_loss_cooldown_10pct_15,2025-10-01,2026-03-03,-0.2787433617653504,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
7,candidate34_frozen_baseline,2025-12-03,2026-05-13,-0.3579710455967914,8,"F,INTC,NIO,PATH,RIVN,XPEV","AI / software,EV / mobility,semiconductor / hardware",2026-05-13 F pnl=-9.05,False,,
7,candidate35_trend_quality_frozen,2025-08-28,2026-03-04,-0.5504555148498118,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-18.80,False,,
7,overlay_market_regime_risk_off_skip,2025-08-28,2026-03-04,-0.5332428663945382,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-17.63,False,,
7,overlay_high_volatility_tail_skip,2024-09-17,2025-02-25,-0.2541209851985693,8,"HOOD,HPE,KTOS,PLTR,SOFI,XPEV","AI / software,AI infrastructure,EV / mobility,fintech,space / defense / nuclear",2025-02-25 XPEV pnl=-5.79,True,,
7,overlay_theme_loss_cooldown_5pct_3,2025-08-28,2026-03-04,-0.3576997357620857,10,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-12.93,False,,
