feature_name,sample_id,winner_count,loser_count,winner_mean,loser_mean,winner_median,loser_median,loser_minus_winner_mean,loser_minus_winner_median,simple_separation_score,missing_rate,notes
near_max_entry_price_pct,1,20,14,0.5958450012207032,0.35238571098872595,0.5655999946594239,0.27880000114440917,-0.2434592902319772,-0.28679999351501473,0.9004224799247647,0.0,near_max_entry_price_pct_lower_for_losers
atr_pct,2,18,18,0.059688521279158656,0.05753714989343613,0.057113556368627985,0.05574656548913587,-0.0021513713857225225,-0.0013669908794921165,0.11310863685802632,0.0,atr_pct_lower_for_losers
volatility_20d,2,17,17,0.0552663145297851,0.05792626192188635,0.051350593361594275,0.060288140664287705,0.00265994739210125,0.00893754730269343,0.11465121753575122,0.05555555555555555,volatility_20d_higher_for_losers
entry_gap_pct,2,18,18,-0.0007751961900894592,0.007428807787786114,0.007582079325085589,0.0057641321263253165,0.008204003977875574,-0.0018179471987602724,0.2842062871114206,0.0,entry_gap_pct_higher_for_losers
decision_strength,2,18,18,0.716553419634929,0.6826721081718206,0.7149477142619718,0.6921530515342159,-0.033881311463108466,-0.022794662727755877,0.28217376837303776,0.0,decision_strength_lower_for_losers
smoke_score,2,18,18,0.9325445865695744,0.9298227353100214,0.9407142857142856,0.9332417582417583,-0.002721851259553043,-0.007472527472527357,0.0710002929267203,0.0,smoke_score_lower_for_losers
relative_volume_prev20,2,18,18,3.280474518927575,2.7962098006176253,2.483275683803634,2.1613253690632317,-0.48426471830994977,-0.32195031474040237,0.2054481457901652,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,2,18,18,-0.050418906550293546,-0.04232680986831334,-0.03350712293876723,-0.02386357879185408,0.008092096681980208,0.009643544146913152,0.18332783163153815,0.0,distance_from_20d_high_pct_higher_for_losers
distance_from_52w_high_pct,2,18,18,-0.04568633936109735,-0.05490182836432092,-0.03375807882158627,-0.021256162286378222,-0.009215489003223568,0.012501916535208046,0.07366481185906693,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,2,18,18,0.09871745629193984,0.07205768318043972,0.083680409776134,0.061249325991324155,-0.026659773111500126,-0.022431083784809847,0.27967164627996766,0.0,return_1d_prior_lower_for_losers
return_5d_prior,2,18,18,0.19880098183317746,0.26838802472162027,0.17230669330976833,0.2216736827288005,0.06958704288844281,0.04936698941903217,0.49276597281254997,0.0,return_5d_prior_higher_for_losers
return_10d_prior,2,18,17,0.2981759273134947,0.3372567203739753,0.2437466235296456,0.3707973743449329,0.03908079306048062,0.12705075081528727,0.17767646477656296,0.027777777777777776,return_10d_prior_higher_for_losers
return_20d_prior,2,18,18,0.4265059171531904,0.4309185792257488,0.3812420444074902,0.30683654620825973,0.00441266207255836,-0.07440549819923048,0.012532916029674398,0.0,return_20d_prior_higher_for_losers
max_single_day_loss_20d,2,17,17,-0.07411334149352505,-0.06759973548738628,-0.06434310458927017,-0.07014215713171656,0.006513606006138775,-0.005799052542446392,0.1585433301186779,0.05555555555555555,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,2,18,18,0.4913933356602987,0.5076944467756483,0.4803499984741211,0.4033999824523926,0.016301111115349654,-0.07695001602172846,0.05904119603528164,0.0,near_max_entry_price_pct_higher_for_losers
atr_pct,3,11,27,0.06917428082589307,0.05934615369175091,0.06579541151336006,0.05509200146118426,-0.009828127134142155,-0.010703410052175802,0.38574217820860723,0.0,atr_pct_lower_for_losers
volatility_20d,3,11,26,0.06467492974317976,0.054105350320435765,0.05806059821501052,0.055025468062262245,-0.010569579422743995,-0.0030351301527482763,0.4081135818670339,0.02631578947368421,volatility_20d_lower_for_losers
entry_gap_pct,3,11,27,0.000382502857809941,0.0027220352670657144,-0.003698563421637213,0.013198763570144934,0.0023395324092557734,0.016897326991782147,0.05945688253874347,0.0,entry_gap_pct_higher_for_losers
decision_strength,3,11,27,0.6504754372244392,0.6671228013430643,0.6269843548528126,0.6484962639277025,0.016647364118625108,0.02151190907488998,0.14018904508078944,0.0,decision_strength_higher_for_losers
smoke_score,3,11,27,0.919886717313188,0.9184835484910878,0.90625,0.9179487179487179,-0.0014031688221002314,0.011698717948717907,0.03307037184574825,0.0,smoke_score_lower_for_losers
relative_volume_prev20,3,11,27,2.685938767678768,2.5476640019684424,2.07815331132237,2.116868681993938,-0.13827476571032538,0.03871537067156794,0.107616903794541,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,3,11,27,-0.07761184360719811,-0.03952919187500636,-0.05589874347080659,-0.03423745956425095,0.038082651732191754,0.02166128390655564,0.8581388948571038,0.0,distance_from_20d_high_pct_higher_for_losers
distance_from_52w_high_pct,3,11,27,-0.04415416620875308,-0.09406076014921538,-0.08128749467102603,-0.04412342995644003,-0.049906593940462304,0.037164064714586,0.3802852120126268,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,3,11,27,0.04080806006378854,0.07989096896241739,0.05435046572220603,0.060955498368266525,0.03908290889862885,0.0066050326460604936,0.4376566169210418,0.0,return_1d_prior_higher_for_losers
return_5d_prior,3,11,27,0.1916008936769145,0.24091212762637437,0.20013522959983265,0.18947371082378361,0.04931123394945988,-0.01066151877604904,0.2828172531647132,0.0,return_5d_prior_higher_for_losers
return_10d_prior,3,11,26,0.3240533343701139,0.39197980040503483,0.2610606378133391,0.2759462022744794,0.06792646603492092,0.01488556446114031,0.19870925146387086,0.02631578947368421,return_10d_prior_higher_for_losers
return_20d_prior,3,11,27,0.4912511186602066,0.5542212596724966,0.4239871466279026,0.303415853094555,0.06297014101228998,-0.12057129353334761,0.11682889236647484,0.0,return_20d_prior_higher_for_losers
max_single_day_loss_20d,3,11,26,-0.06597555707300987,-0.06338500185225057,-0.07670944552030268,-0.06076032274719739,0.002590555220759294,0.015949122773105284,0.09595267828755451,0.02631578947368421,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,3,11,27,0.5053363609313964,0.5015481489676016,0.47639999389648435,0.48779998779296874,-0.003788211963794863,0.011399993896484384,0.01434169443693608,0.0,near_max_entry_price_pct_lower_for_losers
atr_pct,4,8,24,0.06424178597181983,0.06406625496832404,0.06888932879560002,0.052604853757582865,-0.00017553100349579354,-0.01628447503801715,0.005674180037077948,0.0,atr_pct_lower_for_losers
volatility_20d,4,8,23,0.06266601015157608,0.055802549398390314,0.04845243852414517,0.04034091626933432,-0.0068634607531857655,-0.008111522254810849,0.20321500834629525,0.03125,volatility_20d_lower_for_losers
entry_gap_pct,4,8,23,-0.0096830102650282,0.007571571614434553,-0.01597053527150294,0.0,0.01725458187946275,0.01597053527150294,0.3670548722109775,0.03125,entry_gap_pct_higher_for_losers
decision_strength,4,8,24,0.709961818376263,0.6676567384589159,0.703501400560224,0.6697860302217341,-0.04230507991734711,-0.033715370338489925,0.44980490393233574,0.0,decision_strength_lower_for_losers
smoke_score,4,8,24,0.9263266102909211,0.917756723828843,0.9285714285714286,0.9146825396825397,-0.008569886462078125,-0.01388888888888895,0.2403350467604573,0.0,smoke_score_lower_for_losers
