sample_id,filter_name,replay_date,ticker,entry_date,entry_price,reference_price,sector_or_theme,reason_excluded,decision_strength,smoke_score,atr_pct,volatility_20d,entry_gap_pct,relative_volume_prev20,baseline_exit_reason,baseline_pnl_dollars,forward_return_20d,stopped_out_then_20d_positive,would_have_been_winner_baseline_simulation,would_have_been_winner_20d
8,atr_plus_decision_strength,2025-06-20,RKLB,2025-06-23,28.924999237060547,30.040000915527344,space / defense / nuclear,Combination: high_atr_pct plus minimum_decision_strength.,0.5670176184687236,0.9066666666666666,0.06103767145864564,0.051350593361594275,-0.03711723184037807,1.7831585662185117,TARGET_1,27.35895060130531,0.570905365795678,False,True,True
8,atr_plus_decision_strength,2025-08-29,IREN,2025-09-02,25.59000015258789,26.479999542236328,crypto-adjacent / high beta,Combination: high_atr_pct plus minimum_decision_strength.,0.9761904761904759,1.0,0.08000647486013411,0.057476328833778643,-0.03361024943481827,3.51596182124625,TARGET_1,44.31086977005003,0.7345166578238103,False,True,True
8,atr_plus_decision_strength,2025-09-17,HUT,2025-09-18,38.400001525878906,37.790000915527344,,Combination: high_atr_pct plus minimum_decision_strength.,0.4738993738030013,0.8642857142857144,0.05741316087685342,0.05067959478416929,0.01614185222474873,1.6722372213698649,STOP,-16.46432552337643,0.42656783650040353,True,False,True
8,atr_plus_decision_strength,2026-02-17,RIVN,2026-02-18,16.4950008392334,16.469999313354492,EV / mobility,Combination: high_atr_pct plus minimum_decision_strength.,0.5197519331607126,0.8857142857142858,0.06487120201400406,0.06939814489100102,0.001518004063220113,1.806338827017839,STOP,-14.572241818019307,-0.039465673687261726,False,False,False
8,volatility_plus_smoke_score,2024-02-08,PLTR,2024-02-09,25.040000915527344,24.510000228881836,AI / software,Combination: high_volatility_20d plus minimum_smoke_score.,0.758478967252619,1.0,0.054079970101418316,0.07424819726764872,0.021623854822366395,2.742977371940236,STOP,-8.053160481044216,0.06242352804397777,True,False,True
8,volatility_plus_smoke_score,2024-03-07,HPE,2024-03-08,18.6299991607666,18.18000030517578,semiconductor / hardware,Combination: high_volatility_20d plus minimum_smoke_score.,0.5267983066692034,0.8799999999999999,0.038464567440135544,0.02990910739470916,0.024752411883222525,1.7583276171656883,STOP,-5.337793854304721,-0.009901006719154726,False,False,False
8,volatility_plus_smoke_score,2024-06-12,IREN,2024-06-13,13.630000114440918,13.550000190734863,crypto-adjacent / high beta,Combination: high_volatility_20d plus minimum_smoke_score.,0.6323485285071875,0.9428571428571428,0.08228782745100957,0.07175666068141263,0.005904053326933223,2.348279613707545,STOP,-11.802910816192622,-0.09151289694933318,False,False,False
8,volatility_plus_smoke_score,2024-08-29,AFRM,2024-08-30,41.5,41.65999984741211,,Combination: high_volatility_20d plus minimum_smoke_score.,0.790990990990991,0.9405405405405405,0.05377716904070593,0.07631066548198796,-0.0038406108496913394,7.765986142132342,STOP,-3.4020352810450873,-0.012001920351208506,False,False,False
8,volatility_plus_smoke_score,2024-11-15,RKLB,2024-11-18,19.540000915527344,19.0,space / defense / nuclear,Combination: high_volatility_20d plus minimum_smoke_score.,0.7966206542240434,0.9225806451612903,0.08368045763861864,0.0763184955713766,0.028421100817228595,2.0792633073712294,TARGET_1,23.751230422428705,0.3631578746594881,False,True,True
8,volatility_plus_smoke_score,2024-12-04,IREN,2024-12-05,15.010000228881836,14.270000457763672,crypto-adjacent / high beta,Combination: high_volatility_20d plus minimum_smoke_score.,0.5139982252938583,0.8838709677419356,0.09491440226705057,0.10764786885395859,0.05185702504414169,1.9743711244189182,STOP,-16.37322276742117,-0.2053258732435218,False,False,False
