sample_id,filter_name,filter_description,replay_rounds,original_buy_count,filtered_buy_count,excluded_decision_count,excluded_loser_count,excluded_winner_count,excluded_stopped_out_then_20d_positive_count,no_trade_count_after_filter,trade_simulation_accuracy,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_return_20d,median_return_20d,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,ending_value_excluding_best_decision,top_ticker_profit_share,top_ticker_loss_share,passes_phase1d_diagnostic_gate
2,low_relative_volume_prev20,Require relative_volume_prev20 >= 1.8162,100,36,27,9,5,4,1,73,0.5185185185185185,0.6666666666666666,0.5555555555555556,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.09562991275750655,0.03820007538009906,21.102426873820185,-12.607335783528743,1.8025767592538757,231.53861104760892,-0.28565930110982085,-0.12515317439051513,183.39132265213593,0.21822414836043005,0.21526647040522393,True
2,weak_distance_from_high,Require distance_from_52w_high_pct >= -0.1624,100,36,29,7,4,3,1,71,0.5172413793103449,0.6206896551724138,0.5517241379310345,0.5862068965517241,0.5172413793103449,0.5862068965517241,0.12250029737529264,0.03820007538009906,27.36243529986883,-14.803529518049567,1.9803989939291056,303.18711624533853,-0.22528899688472848,-0.12527435227437447,243.00300575099732,0.22378073630819537,0.17197491152947172,True
2,extreme_short_term_runup,Exclude return_5d_prior above 0.3309,100,36,26,10,7,3,2,74,0.5769230769230769,0.5384615384615384,0.5,0.5384615384615384,0.5769230769230769,0.6153846153846154,0.1026524805580866,0.043676101434214853,28.143001233591374,-16.46410586800511,2.330938598892659,341.0398539558144,-0.3045841277361364,-0.09724410196418935,268.8189213626049,0.2545366522337874,0.2274592869364175,True
2,theme_concentration_cap,"Within each sample, allow at most 3 entries per deterministic local theme.",100,36,18,18,7,11,1,82,0.3888888888888889,0.5,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.08941231166824688,0.03671892633659002,12.666303271050367,-8.61958950471258,0.9351228158189427,93.84863834551419,-0.32172771782818665,-0.13121567759164565,72.63499175616687,0.2392585173814508,0.3111489764602167,False
2,repeated_loser_ticker_cooldown,"Within each sample, skip a ticker after its prior baseline losing BUY.",100,36,24,12,5,7,0,76,0.4583333333333333,0.5416666666666666,0.4583333333333333,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.09155503917613728,0.03124290028247423,16.57237037321191,-11.116458292154155,1.2614426791918425,137.78211630732702,-0.2793468169658796,-0.12211476414820721,94.45924197980364,0.23765116467890213,0.1191349116345791,False
2,atr_plus_decision_strength,Combination: high_atr_pct plus minimum_decision_strength.,100,36,20,16,7,9,2,80,0.45,0.65,0.45,0.5,0.5,0.55,0.01807950416316667,0.01779933470717554,9.843091754761966,-6.822668132261786,1.1803943196885072,113.53847633797805,-0.3218096553486074,-0.09189184041774773,89.46483214024155,0.27174889983220935,0.19524315101175024,False
2,volatility_plus_smoke_score,Combination: high_volatility_20d plus minimum_smoke_score.,100,36,24,12,6,6,2,76,0.5,0.625,0.4583333333333333,0.5,0.5,0.5833333333333334,0.10752341549832495,0.04049147850651169,18.629861043033163,-11.397550337337298,1.634549573516995,186.78772846835037,-0.34539948793739894,-0.11981187038585704,150.6772621717456,0.2600694993247831,0.18590667373221598,False
2,risk_stack_filter,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",100,36,20,16,7,9,3,80,0.45,0.6,0.5,0.6,0.5,0.5,0.05256681021044651,0.014811212721402955,13.037429148053379,-8.21949786367044,1.2977663187818596,126.92238583210556,-0.3779100617355119,-0.08862053023508165,102.84874163436906,0.2447623886783458,0.2147209717985228,False
3,high_atr_pct,Exclude atr_pct above 0.0691,100,38,26,12,8,4,3,74,0.2692307692307692,0.5384615384615384,0.5,0.4230769230769231,0.5,0.5384615384615384,0.005254455876242702,0.015183271452044456,9.869939301237775,-4.870404704545669,0.7466101170972443,76.55188572229673,-0.44615085792808507,-0.09608584516034539,60.88759570176275,0.2501543123097154,0.1785340874890445,False
3,high_volatility_20d,Exclude volatility_20d above 0.0697,100,38,26,12,8,4,2,74,0.2692307692307692,0.5384615384615384,0.5,0.46153846153846156,0.5,0.5769230769230769,0.017305368250139334,0.023882191427115784,8.012312189997465,-4.993374610542349,0.5911642368708804,61.21206772967763,-0.5551307010486224,-0.12389474226891566,45.54777770914365,0.27928963127681733,0.12143142894366347,False
