replay_date,decision,ticker,reason,reference_price,shares_with_cash,estimated_total_cost,estimated_cash_remaining,cash_before_decision,smoke_score,decision_strength,relative_volume_prev20,return_5d,return_20d,distance_to_52w_high_prev,dollar_volume,executable_universe_count,rejected_before_ranking_count,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,trade_simulation_status,entry_date,exit_date,exit_reason,entry_price,exit_price,shares,cash_before,cash_after_exit,pnl_dollars,trade_return_pct,account_return_pct
2024-04-17,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,143.01352935246067,143.01352935246067,,,,,,,,35,60,,,,,,,,,,,,0,143.01352935246067,143.01352935246067,,,
2024-04-25,HISTORICAL_BUY_CANDIDATE,F,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,13.039999961853027,10,130.53039961814878,12.483129734311888,143.01352935246067,0.9111111111111111,0.55491220056375,1.6775431384070865,0.08126032405788886,-0.0015314285697595187,-0.1543450131430174,1133751060.6833458,36,60,-0.019171779197189043,-0.06825156027042523,-0.04217792886072269,-0.06978526457624279,-0.07131904201659411,EXECUTED,2024-04-26,2024-04-30,STOP,12.760000228881836,12.196428775787354,11,143.01352935246067,136.67388336590366,-6.339645986557002,-0.044167040986320405,-0.04432899471303009
2024-05-03,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,136.67388336590366,136.67388336590366,,,,,,,,36,60,,,,,,,,,,,,0,136.67388336590366,136.67388336590366,,,
2024-05-13,HISTORICAL_BUY_CANDIDATE,NVAX,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,13.109999656677246,10,131.2310965633392,5.442786802564456,136.67388336590366,1.0,1.0,10.10437115306501,1.7542014761114615,2.182038840007935,0.19181815060702245,1619187215.596962,36,60,0.02822272274970139,0.09839816900345988,0.1281464797232177,0.18382920398163027,0.2761250938489024,EXECUTED,2024-05-14,2024-05-15,STOP,13.399999618530273,11.819642220224653,10,136.67388336590366,120.73630938666217,-15.937573979241492,-0.11793712263395995,-0.11661023735290654
2024-05-21,HISTORICAL_BUY_CANDIDATE,IREN,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,7.400000095367432,16,118.51840152740478,2.2179078592573944,120.73630938666217,0.862857142857143,0.6002976959774133,2.814107835225291,0.5195072421480975,0.32616490977523016,-0.23632606647907461,163597722.1083641,35,61,0.048648666064176505,0.05810808416175739,0.04594590153634992,0.22432436525081467,0.8783783026208323,EXECUTED,2024-05-22,2024-06-03,TARGET_1,7.28000020980835,8.939428874424525,16,120.73630938666217,147.17068801716405,26.434378630501882,0.2279434913175451,0.21894307325433376
2024-05-31,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,147.17068801716405,147.17068801716405,,,,,,,,0,0,,,,,,,,,,,,0,147.17068801716405,147.17068801716405,,,
2024-06-10,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,147.17068801716405,147.17068801716405,,,,,,,,35,61,,,,,,,,,,,,0,147.17068801716405,147.17068801716405,,,
2024-06-18,HISTORICAL_BUY_CANDIDATE,HPE,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,21.84000015258789,6,131.17104091644285,15.999647100721205,147.17068801716405,0.9257142857142858,0.5363202020076586,1.878310389497497,0.062256844352833074,0.22696635329713089,-0.005464432463005653,967426830.7590485,35,62,-0.016483544314852216,-0.06272897571711156,-0.04212454532354626,-0.05357143169045753,-0.05357143169045753,EXECUTED,2024-06-20,2024-06-21,STOP,22.65999984741211,21.34974983760289,6,147.17068801716405,139.17322795922428,-7.997460057939776,-0.05782215439683058,-0.05434139206447861
2024-06-27,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,139.17322795922428,139.17322795922428,,,,,,,,35,63,,,,,,,,,,,,0,139.17322795922428,139.17322795922428,,,
2024-07-08,HISTORICAL_BUY_CANDIDATE,PLTR,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,27.700000762939453,5,138.63850381851196,0.5347241407123136,139.17322795922428,0.8777777777777779,0.4690900796370112,1.505144050066431,0.09356497616943704,0.16435475817321699,0.007272755015980126,1651230285.4797363,36,62,-0.011191385009121535,-0.002166114499581262,0.03501802478837046,0.0274367617545348,-0.13032492819211305,EXECUTED,2024-07-09,2024-07-25,STOP,27.93000030517578,26.246143613542827,4,139.17322795922428,132.32608119147176,-6.84714676775252,-0.06028845947849537,-0.04919873504521023
